candidate_id,rank,score,reasoning
CAND_0000031,1,1.0,"Top-tier ML candidate offering 6.0 years of expertise, including shipping systems at Swiggy. Strong technical fit with FAISS, Pinecone, Embeddings; based in Hyderabad, Telangana (willing to relocate to Pune/Noida) and active on the platform."
CAND_0000273,2,1.0,"Exceptional Senior AI Engineer with 5.8 years of experience, currently working at BYJU'S as a ML Engineer. Expert in Fine-tuning LLMs, Qdrant, Learning to Rank, based in Kolkata, West Bengal (willing to relocate to Pune/Noida) with a 60-day notice period."
CAND_0002995,3,1.0,"Top-tier ML candidate offering 7.9 years of expertise, including shipping systems at Hooli. Strong technical fit with Qdrant; based in Pune, Maharashtra (no relocation needed) and active on the platform."
CAND_0003841,4,1.0,"Top-tier ML candidate offering 5.0 years of expertise, including shipping systems at Tech Mahindra. Strong technical fit with Pinecone, Fine-tuning LLMs; based in Pune, Maharashtra (no relocation needed) and active on the platform."
CAND_0004677,5,1.0,"Exceptional Senior AI Engineer with 5.6 years of experience, currently working at Razorpay as a Data Engineer. Expert in Data Science, TensorFlow, based in Noida, Uttar Pradesh (no relocation needed) with a short 30-day notice period."
CAND_0005260,6,1.0,"Top-tier ML candidate offering 5.2 years of expertise, including shipping systems at Netflix. Strong technical fit with Information Retrieval, NLP, LoRA; based in Chennai, Tamil Nadu (willing to relocate to Pune/Noida) and active on the platform."
CAND_0005477,7,1.0,"Prime match for the founding team with 6.2 years of experience in product environments. Demonstrates hands-on proficiency in QLoRA; based in Bangalore, Karnataka (willing to relocate to Pune/Noida) (a 45-day notice period)."
CAND_0006418,8,1.0,"Top-tier ML candidate offering 5.7 years of expertise, including shipping systems at Verloop.io. Strong technical fit with Embeddings, Weaviate, Learning to Rank; based in Gurgaon, Haryana (willing to relocate to Pune/Noida) and active on the platform."
CAND_0006567,9,1.0,"Exceptional Senior AI Engineer with 7.9 years of experience, currently working at Meta as a Senior AI Engineer. Expert in NLP, based in Noida, Uttar Pradesh (no relocation needed) with a 60-day notice period."
CAND_0006574,10,1.0,"Top-tier ML candidate offering 8.9 years of expertise, including shipping systems at Cognizant. Strong technical fit with Databricks, Weights & Biases, SQL; based in Noida, Uttar Pradesh (no relocation needed) and active on the platform."
CAND_0007009,11,1.0,"Product-focused engineer with 7.9 years of applied ML experience at Wysa. Relevant skill set including Weaviate, Embeddings, Learning to Rank; based in Noida, Uttar Pradesh (no relocation needed) (a short 30-day notice period)."
CAND_0007052,12,1.0,"Experienced ML Engineer with 6.5 years of history. Proven work in RAG, Weaviate, Milvus at Unacademy; fits Pune/Noida location requirements (a 60-day notice period)."
CAND_0008295,13,1.0,"Strong technical candidate with 6.5 years of experience, currently working as a AI Research Engineer at Razorpay. Solid experience in Weaviate, QLoRA, based in Pune, Maharashtra (no relocation needed) and has a 45-day notice period."
CAND_0009307,14,1.0,"Product-focused engineer with 3.3 years of applied ML experience at Zomato. Relevant skill set including Fine-tuning LLMs, Information Retrieval, Weaviate; based in Noida, Uttar Pradesh (no relocation needed) (a short 30-day notice period)."
CAND_0010149,15,1.0,"Strong technical candidate with 6.9 years of experience, currently working as a ML Engineer at Glance. Solid experience in Milvus, Vector Search, Learning to Rank, based in Bangalore, Karnataka (willing to relocate to Pune/Noida) and has a 90-day notice period; minor concern is a longer 90-day notice period."
CAND_0010770,16,1.0,"Strong technical candidate with 15.2 years of experience, currently working as a Recommendation Systems Engineer at Aganitha. Solid experience in Qdrant, Learning to Rank, LLMs, based in Kolkata, West Bengal (willing to relocate to Pune/Noida) and has a short 30-day notice period."
CAND_0012038,17,1.0,Experienced Java Developer with 6.5 years of history. Proven work in Information Retrieval at Zomato; fits Pune/Noida location requirements (a short 30-day notice period).
CAND_0012840,18,1.0,"Strong technical candidate with 3.7 years of experience, currently working as a Junior ML Engineer at Nykaa. Solid experience in Embeddings, Qdrant, based in Mumbai, Maharashtra (willing to relocate to Pune/Noida) and has a 60-day notice period."
CAND_0014292,19,1.0,"Strong technical candidate with 3.5 years of experience, currently working as a Software Engineer at Nykaa. Solid experience in Learning to Rank, based in Noida, Uttar Pradesh (no relocation needed) and has a short 30-day notice period."
CAND_0015057,20,1.0,"Strong technical candidate with 4.6 years of experience, currently working as a ML Engineer at Meesho. Solid experience in Vector Search, Embeddings, QLoRA, based in Pune, Maharashtra (no relocation needed) and has a 90-day notice period; minor concern is a longer 90-day notice period."
CAND_0015065,21,1.0,"Experienced AI Research Engineer with 3.9 years of history. Proven work in Embeddings, Qdrant, Learning to Rank at Flipkart; fits Pune/Noida location requirements (a 90-day notice period); minor concern is a longer 90-day notice period."
CAND_0015444,22,1.0,"Strong technical candidate with 4.9 years of experience, currently working as a Full Stack Developer at Hooli. Solid experience in Fine-tuning LLMs, based in Noida, Uttar Pradesh (no relocation needed) and has a short 30-day notice period."
CAND_0015967,23,1.0,"Product-focused engineer with 5.4 years of applied ML experience at Razorpay. Relevant skill set including QLoRA, Pinecone, LLMs; based in Hyderabad, Telangana (willing to relocate to Pune/Noida) (a short 30-day notice period)."
CAND_0017093,24,1.0,"Experienced ML Engineer with 5.9 years of history. Proven work in LLMs, Embeddings, Learning to Rank at Zoho; fits Pune/Noida location requirements (a short 30-day notice period)."
CAND_0017590,25,1.0,"Product-focused engineer with 5.1 years of applied ML experience at Genpact AI. Relevant skill set including Weaviate, FAISS, Qdrant; based in Kolkata, West Bengal (willing to relocate to Pune/Noida) (a 45-day notice period)."
CAND_0017722,26,1.0,"Product-focused engineer with 5.7 years of applied ML experience at Saarthi.ai. Relevant skill set including Qdrant, Information Retrieval, Vector Search; based in Noida, Uttar Pradesh (no relocation needed) (a 45-day notice period)."
CAND_0018152,27,1.0,"Experienced Senior Data Engineer with 4.0 years of history. Proven work in Weights & Biases, Data Science, TensorFlow at HCL; fits Pune/Noida location requirements (a 60-day notice period)."
CAND_0018499,28,1.0,"Product-focused engineer with 7.2 years of applied ML experience at Zomato. Relevant skill set including Weaviate, Pinecone, Information Retrieval; based in Noida, Uttar Pradesh (no relocation needed) (a short 15-day notice period)."
CAND_0018888,29,1.0,"Strong technical candidate with 6.5 years of experience, currently working as a AI Research Engineer at Razorpay. Solid experience in Information Retrieval, LLMs, FAISS, based in Noida, Uttar Pradesh (no relocation needed) and has a short 30-day notice period."
CAND_0019288,30,1.0,"Product-focused engineer with 5.7 years of applied ML experience at Paytm. Relevant skill set including FAISS, NLP; based in Noida, Uttar Pradesh (no relocation needed) (a short 30-day notice period)."
CAND_0019880,31,1.0,"Experienced AI Specialist with 5.7 years of history. Proven work in Embeddings, QLoRA, NLP at Aganitha; fits Pune/Noida location requirements (a short 30-day notice period)."
CAND_0020463,32,1.0,"Strong technical candidate with 5.1 years of experience, currently working as a Data Engineer at Ola. Solid experience in Databricks, based in Pune, Maharashtra (no relocation needed) and has a short 30-day notice period."
CAND_0020770,33,1.0,"Product-focused engineer with 3.6 years of applied ML experience at Hooli. Relevant skill set including Pinecone; based in Pune, Maharashtra (no relocation needed) (a short 30-day notice period)."
CAND_0020954,34,1.0,Experienced Senior Software Engineer with 7.1 years of history. Proven work in RAG at Swiggy; fits Pune/Noida location requirements (a 90-day notice period); minor concern is a longer 90-day notice period.
CAND_0022023,35,1.0,"Strong technical candidate with 4.6 years of experience, currently working as a AI Research Engineer at Saarthi.ai. Solid experience in Machine Learning, based in Pune, Maharashtra (no relocation needed) and has a 60-day notice period."
CAND_0022484,36,1.0,"Experienced Mechanical Engineer with 4.1 years of history. Proven work in Fine-tuning LLMs, FAISS, Pinecone at Dunder Mifflin; fits Pune/Noida location requirements (a short 30-day notice period)."
CAND_0025882,37,1.0,"Product-focused engineer with 5.6 years of applied ML experience at Freshworks. Relevant skill set including FAISS, Vector Search, LoRA; based in Chennai, Tamil Nadu (willing to relocate to Pune/Noida) (a 45-day notice period)."
CAND_0027691,38,1.0,"Product-focused engineer with 6.5 years of applied ML experience at Haptik. Relevant skill set including LoRA, Weaviate, Embeddings; based in Pune, Maharashtra (no relocation needed) (a short 15-day notice period)."
CAND_0028119,39,1.0,"Strong technical candidate with 6.6 years of experience, currently working as a Senior Data Engineer at CRED. Solid experience in Qdrant, LLMs, based in Noida, Uttar Pradesh (no relocation needed) and has a 60-day notice period."
CAND_0030348,40,1.0,"Strong technical candidate with 4.5 years of experience, currently working as a Machine Learning Engineer at BYJU'S. Solid experience in Embeddings, Vector Search, based in Noida, Uttar Pradesh (no relocation needed) and has a 45-day notice period."
CAND_0030946,41,1.0,"Product-focused engineer with 6.7 years of applied ML experience at Yellow.ai. Relevant skill set including Learning to Rank, Embeddings; based in Mumbai, Maharashtra (willing to relocate to Pune/Noida) (a 60-day notice period)."
CAND_0032216,42,1.0,"Experienced ML Engineer with 6.1 years of history. Proven work in Learning to Rank, Information Retrieval, Qdrant at upGrad; fits Pune/Noida location requirements (a short 30-day notice period)."
CAND_0032279,43,1.0,"Experienced Java Developer with 6.9 years of history. Proven work in Deep Learning, Spark at Flipkart; fits Pune/Noida location requirements (a short 30-day notice period)."
CAND_0033987,44,1.0,"Strong technical candidate with 6.8 years of experience, currently working as a ML Engineer at Wysa. Solid experience in Fine-tuning LLMs, FAISS, Learning to Rank, based in Delhi, Delhi (willing to relocate to Pune/Noida) and has a 90-day notice period; minor concern is a longer 90-day notice period."
CAND_0036437,45,1.0,"Experienced Search Engineer with 4.8 years of history. Proven work in Milvus, Vector Search, Weaviate at Rephrase.ai; fits Pune/Noida location requirements (a short 30-day notice period)."
CAND_0037000,46,1.0,"Product-focused engineer with 2.7 years of applied ML experience at Unacademy. Relevant skill set including Embeddings, FAISS, Pinecone; based in Noida, Uttar Pradesh (no relocation needed) (a short 15-day notice period)."
CAND_0037566,47,1.0,"Strong technical candidate with 6.9 years of experience, currently working as a Machine Learning Engineer at LinkedIn. Solid experience in Pinecone, NLP, LoRA, based in Bangalore, Karnataka (willing to relocate to Pune/Noida) and has a short 15-day notice period."
CAND_0039587,48,1.0,Experienced Data Engineer with 6.2 years of history. Proven work in Weaviate at HCL; fits Pune/Noida location requirements (a short 30-day notice period).
CAND_0040946,49,1.0,"Experienced AI Research Engineer with 6.0 years of history. Proven work in Qdrant, NLP, Learning to Rank at TCS; fits Pune/Noida location requirements (a 45-day notice period); minor concern is lower platform activity (response rate: 28%)."
CAND_0040955,50,1.0,"Experienced Junior ML Engineer with 6.6 years of history. Proven work in Vector Search, Embeddings, NLP at Rephrase.ai; fits Pune/Noida location requirements (a short 30-day notice period)."
CAND_0041669,51,1.0,"Good fit for the technical role with 8.0 years in the field. Background includes working with FAISS, Milvus, QLoRA at CRED; active profile (a 60-day notice period)."
CAND_0043312,52,1.0,"Solid ML/software professional with 4.2 years of experience. Experienced in Qdrant, LoRA, RAG; candidate is based in Noida, Uttar Pradesh (no relocation needed) with a short 30-day notice period."
CAND_0043381,53,1.0,"Solid ML/software professional with 3.6 years of experience. Experienced in Pinecone; candidate is based in Pune, Maharashtra (no relocation needed) with a 45-day notice period."
CAND_0043829,54,1.0,"Good fit for the technical role with 4.8 years in the field. Background includes working with Qdrant, Information Retrieval at Observe.AI; active profile (a 90-day notice period); minor concern is a longer 90-day notice period."
CAND_0045475,55,1.0,"Solid ML/software professional with 4.9 years of experience. Experienced in Pinecone, QLoRA, FAISS; candidate is based in Delhi, Delhi (willing to relocate to Pune/Noida) with a 60-day notice period."
CAND_0045828,56,1.0,"Competent engineer with 3.1 years of experience, currently a Senior Data Engineer at Globex Inc. Demonstrates background in Embeddings; based in Noida, Uttar Pradesh (no relocation needed) (a short 30-day notice period)."
CAND_0046132,57,1.0,"Solid ML/software professional with 4.3 years of experience. Experienced in Information Retrieval, Fine-tuning LLMs; candidate is based in Noida, Uttar Pradesh (no relocation needed) with a short 30-day notice period."
CAND_0046459,58,1.0,"Solid ML/software professional with 4.5 years of experience. Experienced in Qdrant, RAG; candidate is based in Pune, Maharashtra (no relocation needed) with a short 30-day notice period."
CAND_0046525,59,1.0,"Solid ML/software professional with 6.1 years of experience. Experienced in Information Retrieval, LLMs, NLP; candidate is based in Pune, Maharashtra (no relocation needed) with a 60-day notice period."
CAND_0047542,60,1.0,"Solid ML/software professional with 5.0 years of experience. Experienced in Learning to Rank, Weaviate, Embeddings; candidate is based in Chennai, Tamil Nadu (willing to relocate to Pune/Noida) with a 45-day notice period."
CAND_0048558,61,1.0,"Competent engineer with 6.7 years of experience, currently a Data Scientist at Rephrase.ai. Demonstrates background in Information Retrieval, Qdrant; based in Noida, Uttar Pradesh (no relocation needed) (a short 30-day notice period)."
CAND_0049340,62,1.0,"Good fit for the technical role with 3.7 years in the field. Background includes working with LLMs, Milvus, Pinecone at Mad Street Den; active profile (a 90-day notice period); minor concern is a longer 90-day notice period."
CAND_0050297,63,1.0,"Good fit for the technical role with 3.1 years in the field. Background includes working with Learning to Rank, Information Retrieval at Krutrim; active profile (a 45-day notice period)."
CAND_0050454,64,1.0,"Competent engineer with 6.8 years of experience, currently a AI Engineer at Rephrase.ai. Demonstrates background in QLoRA, Fine-tuning LLMs, FAISS; based in Delhi, Delhi (willing to relocate to Pune/Noida) (a short 30-day notice period)."
CAND_0050742,65,1.0,"Competent engineer with 4.3 years of experience, currently a Data Engineer at Meesho. Demonstrates background in Pinecone; based in Noida, Uttar Pradesh (no relocation needed) (a short 30-day notice period)."
CAND_0051004,66,1.0,"Solid ML/software professional with 4.7 years of experience. Experienced in Embeddings, Qdrant, Fine-tuning LLMs; candidate is based in Delhi, Delhi (willing to relocate to Pune/Noida) with a short 15-day notice period."
CAND_0052328,67,1.0,"Good fit for the technical role with 6.5 years in the field. Background includes working with LoRA, QLoRA, Learning to Rank at Amazon; active profile (a short 30-day notice period)."
CAND_0053605,68,1.0,"Solid ML/software professional with 6.9 years of experience. Experienced in RAG; candidate is based in Noida, Uttar Pradesh (no relocation needed) with a short 30-day notice period."
CAND_0054394,69,1.0,"Solid ML/software professional with 4.1 years of experience. Experienced in Fine-tuning LLMs, Embeddings, Pinecone; candidate is based in Pune, Maharashtra (no relocation needed) with a short 30-day notice period."
CAND_0054546,70,1.0,"Competent engineer with 4.9 years of experience, currently a AI Research Engineer at Razorpay. Demonstrates background in Qdrant, Learning to Rank, LoRA; based in Pune, Maharashtra (no relocation needed) (a 90-day notice period); minor concern is a longer 90-day notice period."
CAND_0055924,71,1.0,"Solid ML/software professional with 5.3 years of experience. Experienced in LoRA, RAG; candidate is based in Noida, Uttar Pradesh (no relocation needed) with a 60-day notice period."
CAND_0056617,72,1.0,"Solid ML/software professional with 4.5 years of experience. Experienced in FAISS; candidate is based in Kolkata, West Bengal (willing to relocate to Pune/Noida) with a 45-day notice period."
CAND_0056811,73,1.0,"Competent engineer with 4.8 years of experience, currently a Data Engineer at Vedantu. Demonstrates background in LoRA, LLMs, QLoRA; based in Noida, Uttar Pradesh (no relocation needed) (a 90-day notice period); minor concern is a longer 90-day notice period."
CAND_0060120,74,1.0,"Competent engineer with 7.7 years of experience, currently a .NET Developer at Globex Inc. Demonstrates background in QLoRA; based in Chennai, Tamil Nadu (willing to relocate to Pune/Noida) (a short 30-day notice period)."
CAND_0060392,75,1.0,Good fit for the technical role with 5.2 years in the field. Background includes working with  at Meesho; active profile (a short 30-day notice period).
CAND_0060538,76,1.0,"Solid ML/software professional with 5.2 years of experience. Experienced in Embeddings, Milvus; candidate is based in Pune, Maharashtra (no relocation needed) with a 90-day notice period; minor concern is a longer 90-day notice period."
CAND_0060699,77,1.0,"Competent engineer with 3.1 years of experience, currently a ML Engineer at PharmEasy. Demonstrates background in Embeddings, FAISS, Fine-tuning LLMs; based in Mumbai, Maharashtra (willing to relocate to Pune/Noida) (a 60-day notice period)."
CAND_0061257,78,1.0,"Competent engineer with 8.0 years of experience, currently a Staff Machine Learning Engineer at LinkedIn. Demonstrates background in Machine Learning, Python; based in Noida, Uttar Pradesh (no relocation needed) (a short 30-day notice period)."
CAND_0064270,79,1.0,"Solid ML/software professional with 4.2 years of experience. Experienced in Learning to Rank, Embeddings; candidate is based in Pune, Maharashtra (no relocation needed) with a 45-day notice period."
CAND_0065430,80,1.0,"Competent engineer with 4.4 years of experience, currently a ML Engineer at Mad Street Den. Demonstrates background in Pinecone, Milvus; based in Mumbai, Maharashtra (willing to relocate to Pune/Noida) (a 45-day notice period)."
CAND_0065514,81,1.0,"Competent engineer with 6.6 years of experience, currently a ML Engineer at Genpact AI. Demonstrates background in Vector Search, Pinecone, Milvus; based in Pune, Maharashtra (no relocation needed) (a 90-day notice period); minor concern is a longer 90-day notice period."
CAND_0065560,82,1.0,"Solid ML/software professional with 9.3 years of experience. Experienced in Fine-tuning LLMs; candidate is based in Pune, Maharashtra (no relocation needed) with a short 30-day notice period."
CAND_0066623,83,1.0,"Good fit for the technical role with 6.3 years in the field. Background includes working with Learning to Rank, Information Retrieval at Nykaa; active profile (a 60-day notice period)."
CAND_0066690,84,1.0,"Competent engineer with 4.8 years of experience, currently a ML Engineer at Freshworks. Demonstrates background in Pinecone; based in Gurgaon, Haryana (willing to relocate to Pune/Noida) (a short 30-day notice period)."
CAND_0066999,85,1.0,"Competent engineer with 5.9 years of experience, currently a Recommendation Systems Engineer at Microsoft. Demonstrates background in FAISS, LLMs, Pinecone; based in Delhi, Delhi (willing to relocate to Pune/Noida) (a short 15-day notice period)."
CAND_0067866,86,1.0,"Competent engineer with 6.4 years of experience, currently a Senior Software Engineer (ML) at Tech Mahindra. Demonstrates background in Embeddings, LoRA, Qdrant; based in Noida, Uttar Pradesh (no relocation needed) (a 45-day notice period)."
CAND_0068811,87,1.0,"Competent engineer with 8.0 years of experience, currently a Applied ML Engineer at Freshworks. Demonstrates background in Vector Search, Qdrant, Embeddings; based in Pune, Maharashtra (no relocation needed) (a short 30-day notice period)."
CAND_0071020,88,1.0,"Solid ML/software professional with 9.9 years of experience. Experienced in Data Science; candidate is based in Chennai, Tamil Nadu (willing to relocate to Pune/Noida) with a short 30-day notice period."
CAND_0071939,89,1.0,"Good fit for the technical role with 6.4 years in the field. Background includes working with Embeddings, QLoRA, NLP at Krutrim; active profile (a short 30-day notice period)."
CAND_0072688,90,1.0,"Solid ML/software professional with 6.9 years of experience. Experienced in Milvus, LoRA, NLP; candidate is based in Pune, Maharashtra (no relocation needed) with a 45-day notice period."
CAND_0073314,91,1.0,"Competent engineer with 5.2 years of experience, currently a Senior Software Engineer (ML) at Aganitha. Demonstrates background in Milvus, Weaviate; based in Noida, Uttar Pradesh (no relocation needed) (a 60-day notice period)."
CAND_0073620,92,1.0,"Competent engineer with 4.4 years of experience, currently a AI Research Engineer at TCS. Demonstrates background in LoRA, Embeddings, FAISS; based in Noida, Uttar Pradesh (no relocation needed) (a 90-day notice period); minor concern is a longer 90-day notice period."
CAND_0074098,93,1.0,"Solid ML/software professional with 4.9 years of experience. Experienced in LLMs, Fine-tuning LLMs, LoRA; candidate is based in Pune, Maharashtra (no relocation needed) with a short 30-day notice period."
CAND_0075574,94,1.0,"Solid ML/software professional with 5.7 years of experience. Experienced in Weaviate, Qdrant, Vector Search; candidate is based in Bangalore, Karnataka (willing to relocate to Pune/Noida) with a 60-day notice period."
CAND_0076625,95,1.0,Good fit for the technical role with 5.1 years in the field. Background includes working with RAG at Meesho; active profile (a short 30-day notice period).
CAND_0077837,96,1.0,"Good fit for the technical role with 4.8 years in the field. Background includes working with Information Retrieval, QLoRA at Acme Corp; active profile (a short 30-day notice period)."
CAND_0079468,97,1.0,"Solid ML/software professional with 5.8 years of experience. Experienced in NLP, LoRA; candidate is based in Pune, Maharashtra (no relocation needed) with a short 30-day notice period."
CAND_0081852,98,1.0,"Competent engineer with 5.9 years of experience, currently a Senior Data Scientist at Mad Street Den. Demonstrates background in Milvus, Weaviate, Vector Search; based in Delhi, Delhi (willing to relocate to Pune/Noida) (a 45-day notice period)."
CAND_0083007,99,1.0,"Competent engineer with 5.2 years of experience, currently a Data Engineer at Accenture. Demonstrates background in QLoRA; based in Noida, Uttar Pradesh (no relocation needed) (a short 30-day notice period)."
CAND_0083879,100,1.0,"Good fit for the technical role with 7.1 years in the field. Background includes working with Fine-tuning LLMs, Milvus at Ola; active profile (a short 30-day notice period)."
